,ID,Accident_Severity,Description,City,State,date
29145,A-541383,3,Two lanes blocked due to accident on I-495 Eastbound at Exits 15 16 17W 17W-E 18 I-278 Brooklyn Queens Expy Exits 35 35A-B.,Woodside,NY,2020-12-07
30733,A-542971,3,Right lane blocked due to accident on I-278 Bruckner Expy Eastbound before NY-895.,Bronx,NY,2020-12-06
32279,A-544517,2,Entry ramp to NJ-440 Northbound from Pulaski street closed due to fallen power cables.,Jersey City,NJ,2020-12-05
32781,A-545019,2,Accident on MA-123 Brockton Ave at Belmont St.,Abington,MA,2020-12-03
33643,A-545881,3,Lane blocked due to accident on I-90 Dan Ryan Expy Eastbound at Chinatown Feeder.,Chicago,IL,2020-12-02
35675,A-547913,2,Two lanes blocked due to accident on US-101 Southbound at Exit 403 University Ave.,Palo Alto,CA,2020-12-01
38278,A-550516,2,Entry ramp closed due to incident on Port Miami Tunnel Westbound in Star Palm & Hibiscus Islands.,Miami,FL,2020-11-29
39307,A-551545,2,Entry ramp to A.C. Expressway Westbound from Albany Blvd Northbound closed due to emergency repairs.,Atlantic City,NJ,2020-11-13
39308,A-551546,2,Entry ramp to A.C. Expressway Westbound from Albany Blvd Westbound closed due to emergency repairs. Detour in operation - US-322 - US-9.,Atlantic City,NJ,2020-11-17
39422,A-551660,2,Entry ramp closed due to incident on Port Miami Tunnel Westbound at FL-886.,Miami,FL,2020-11-28
40002,A-552240,2,Accident on US-20 Lake St at Bartlett Rd.,Bartlett,IL,2020-11-27
40682,A-552920,3,Lane blocked due to accident on I-55 Northbound at Exit 6 IL-111.,East Saint Louis,IL,2020-11-26
41154,A-553392,3,Two lanes blocked due to accident on I-696 Westbound at Greenfield Rd.,Southfield,MI,2020-11-25
43668,A-555907,2,Left lane blocked due to accident on 6th Ave Northbound at Madison St.,Seattle,WA,2020-11-24
45386,A-557625,3,Main roadway closed due to accident on US-50 both ways from County Road 16 to County Road 17. Traffic getting by on the shoulder.,Las Animas,CO,2020-11-23
46325,A-558564,2,Entry ramp closed due to incident on Port Miami Tunnel Westbound at fl-886.,Miami,FL,2020-11-22
47849,A-560089,2,Accident on 6th St Westbound at Martin Luther King Jr Way.,Oakland,CA,2020-11-21
48215,A-560455,3,Lane blocked due to accident on I-72 Eastbound at IL-104.,Jacksonville,IL,2020-11-20
49511,A-561751,3,Lane blocked due to accident on I-55 Stevenson Expy Southbound at Exit 287 Pulaski Rd.,Chicago,IL,2020-11-19
51116,A-563357,3,Lane blocked due to accident on I-64 Eastbound at Exit 117 CR-20 2550.,Burnt Prairie,IL,2020-11-18
54109,A-566351,4,Right lane closed due to accident on I-40 Westbound from Exit 20 US-276 Jonathan Creek Rd to Exit 15 Fines Creek Rd.,Waynesville,NC,2020-11-16
55532,A-567774,3,Accident and fallen power cables on NJ-56 Landis Ave Eastbound between CR-634 Morton Ave and CR-717 Kenyon Ave.,Bridgeton,NJ,2020-11-15
57273,A-569515,2,Entry ramp closed due to incident on Port Miami Tunnel Westbound at FL-886.,Miami,FL,2020-11-14
59194,A-571436,3,Lane closed due to accident on I-290 Eastbound at Keeler Ave.,Chicago,IL,2020-11-12
60231,A-572473,4,Right lane blocked due to earlier accident on I-295 Southbound between Exit 21 NJ-44 Crown Point Rd and Exit 20 Mid Atlantic Pkwy.,Thorofare,NJ,2020-11-11
62368,A-574611,4,Two lanes blocked due to accident on I-95 Northbound from I-95 /US-1 Jefferson Davis Hwy to I-95 / VA-3 Plank Rd / Carl D Silver Pkwy.,Fredericksburg,VA,2020-11-10
62692,A-574935,2,Entry ramp to Florida's Turnpike North Northbound from Nw 57th Ave Southbound closed due to flooding.,Hollywood,FL,2020-11-09
64144,A-576387,2,Entry ramp to A.C. Expressway Westbound from Albany Blvd Northbound closed due to emergency repairs.,Atlantic City,NJ,2020-09-30
66066,A-578309,2,Three lanes blocked due to accident on NJ-3 Westbound before Meadowlands Pkwy.,Secaucus,NJ,2020-11-08
68094,A-580337,2,Accident on Brittan Ave at Old County Rd.,San Carlos,CA,2020-11-07
68325,A-580568,3,Two lanes blocked due to accident on I-278 Bruckner Expy Eastbound at Exits 50 51 52 Morrison Ave.,Bronx,NY,2020-11-06
69790,A-582033,4,Right lane blocked due to accident on I-20 Westbound from SC-6 Exit 55 to SC-204 Exit 51.,Lexington,SC,2020-11-05
71399,A-583642,4,Three lanes blocked due to accident on I-40 Westbound from Exit 150 Jimmie Kerr Rd to Exit 148 NC-54 Harden St.,Graham,NC,2020-11-04
72892,A-585135,4,Main roadway closed due to accident on I-94 Eastbound from Exit 85 35th St to Exit 88 40th St. Traffic getting by on the shoulder.,Climax,MI,2020-11-03
74722,A-586965,3,Entry ramp to I-77 Southbound from St Michaels Ave Northbound closed due to fallen power cables.,Akron,OH,2020-11-02
76442,A-588685,3,Two lanes blocked due to accident on I-278 Brooklyn Queens Expy Westbound at Exit 24 NY-27 Prospect Expy Exit 1.,Brooklyn,NY,2020-11-01
78404,A-590648,3,Left lane blocked due to accident on I-5 Southbound at I-5 Exit 105.,Olympia,WA,2020-10-31
78779,A-591023,3,Lane closed due to accident on I-80 Westbound at Torrence Ave.,Lansing,IL,2020-10-30
79355,A-591599,3,Lane blocked due to accident on I-90 Eastbound at Exit 58 NY-5.,Irving,NY,2020-09-06
79416,A-591660,3,Left lane blocked due to accident on I-495 Westbound at Exit 28 Horace Harding Expy.,Oakland Gardens,NY,2020-09-07
79503,A-591747,2,Entry ramp closed due to incident on Port Miami Tunnel Westbound at FL-886.,Miami,FL,2020-09-05
80980,A-593224,2,Left lane blocked due to accident on NY-33 Kensington Expy Eastbound at I-90 .,Buffalo,NY,2020-09-08
82630,A-594874,3,Lane blocked due to accident on I-86 Eastbound from Exit 15 Schoolhouse Rd to Exit 19 Asp Route 2.,Salamanca,NY,2020-09-09
82632,A-594876,3,Three lanes blocked due to accident on I-90 Westbound at Exit 50 I-290 Exits 1-49 7A 7B 51-61.,Buffalo,NY,2020-09-10
82996,A-595240,2,Two lanes blocked due to accident on Garden State Pkwy Southbound at Great Egg Toll Plaza.,Somers Point,NJ,2020-09-11
87761,A-600005,3,Right lane blocked due to accident on I-190 Northbound at NY-5 Buffalo Skwy.,Buffalo,NY,2020-09-12
87773,A-600017,3,Three lanes blocked due to accident on I-75 Northbound at Exit 55 Chrysler Dr.,Detroit,MI,2020-09-13
88906,A-601150,3,Left lane blocked due to accident on Expy Northbound near MA-3.,Quincy,MA,2020-09-14
90444,A-602688,2,Accident on I-90 Westbound after Exit 54 NY-400.,Buffalo,NY,2020-09-15
90502,A-602746,2,One lane blocked due to accident on NY-7 at NY-22.,Hoosick Falls,NY,2020-09-16
93502,A-605746,2,Accident on I-190 Southbound after Exit 5 Hamburg St.,Buffalo,NY,2020-09-17
95306,A-607550,2,Accident on I-190 Southbound at Exit 15 NY-325 Sheridan Dr.,Tonawanda,NY,2020-09-18
97104,A-609348,3,Accident on I-190 Southbound at Exit 9 Porter Ave.,Buffalo,NY,2020-09-19
97173,A-609417,3,Left lane blocked due to accident on I-95 Northbound at NJ-3.,East Rutherford,NJ,2020-09-20
98226,A-610470,3,Left lane blocked due to accident on I-90 Eastbound at Exit 57A CR-32 Eden Evans Center Rd.,Eden,NY,2020-09-21
98386,A-610630,3,Two lanes blocked due to accident on I-278 Brooklyn Queens Expy Westbound at Exit 30 Classon Ave.,Brooklyn,NY,2020-09-22
101465,A-613709,2,Accident on NY-198 Eastbound at Parkside Ave.,Buffalo,NY,2020-09-23
103092,A-615336,3,Right lane closed due to accident on I-290 Eastbound at I-90.,Buffalo,NY,2020-09-24
103260,A-615504,2,Left lane blocked due to accident on Garden State Pkwy Northbound at Exit 138 CR-509 Boulevard.,Kenilworth,NJ,2020-09-25
106688,A-618932,3,Accident on I-90 Eastbound between Exit 56 NY-179 Mile Strip Rd and Exit 55 US-219.,Buffalo,NY,2020-09-26
107279,A-619523,2,Left lane blocked due to accident on MA-128 Southbound in South Lynnfield.,Peabody,MA,2020-09-27
107330,A-619574,2,Right lane blocked due to accident on US-130 Southbound at New Albany Rd.,Cinnaminson,NJ,2020-09-28
109456,A-621700,2,Lane blocked due to accident on NY-240 Harlem Rd Northbound between NY-5 Main St and NY-324 Sheridan Dr.,Buffalo,NY,2020-09-29
111368,A-623612,3,Left lane blocked due to accident on I-87 Northbound at Exit 10 230th St.,Bronx,NY,2020-10-01
112937,A-625181,3,Right lane blocked due to accident on I-94 Eastbound at Mt Elliott.,Detroit,MI,2020-10-02
114611,A-626855,3,Lane blocked due to accident on I-87 Northbound near US-9.,Ballston Spa,NY,2020-10-03
116911,A-629155,3,Exit ramp from I-90 Westbound at Exit 54 to NY-400 Southbound lane blocked due to accident.,Buffalo,NY,2020-10-04
117374,A-629618,2,Left hand shoulder blocked due to accident on I-495 Blue Star Memorial Hwy Southbound near MA-9 Turnpike Rd.,Westborough,MA,2020-10-05
118978,A-631223,2,Accident on I-90 Westbound after Exit 48A NY-77 Alleghany Rd.,Corfu,NY,2020-10-06
119143,A-631388,2,Right lane blocked due to accident on I-87 Northbound after Exit 2 Central Park Ave.,Yonkers,NY,2020-10-07
120785,A-633030,3,Two lanes blocked due to accident on I-95 Northbound at Exit 16W Service Rd.,East Rutherford,NJ,2020-10-08
122423,A-634668,2,Left lane blocked due to accident on M-10 John C Lodge Fwy Northbound after Hamilton Ave.,Detroit,MI,2020-10-09
125903,A-638148,3,Accident on I-190 Northbound at Exit 11 NY-198.,Buffalo,NY,2020-10-10
125922,A-638167,3,Left lane blocked due to accident on I-87 Northbound at Exit 15 NY-50.,Saratoga Springs,NY,2020-10-11
126621,A-638866,2,Left and center lane blocked due to accident on NY-9A Henry Hudson Pkwy Southbound at 158th St.,New York,NY,2020-10-12
127421,A-639666,2,Three lanes blocked due to accident on Grand Central Pkwy Eastbound at Ditmars Blvd.,East Elmhurst,NY,2020-10-13
130832,A-643077,2,Accident on I-90 Eastbound after exit 48A.,Akron,NY,2020-10-14
130896,A-643141,3,Accident on I-96 Express Westbound at M-39. In the express lane.,Detroit,MI,2020-10-15
134450,A-646695,2,Accident on I-90 Westbound at Exit 50 I-290 Exits 1-49 7A 7B 51-61.,Buffalo,NY,2020-10-16
134731,A-646976,2,Two lanes blocked due to accident on Garden State Pkwy Southbound at CR-530 Dover Rd.,Toms River,NJ,2020-10-17
136694,A-648939,2,Accident on CR-83 Patchogue Mt Sinai Rd both ways around Hawkins Path.,Coram,NY,2020-10-18
137761,A-650006,2,Accident on I-90 Eastbound at Exit 48A NY-77 Alleghany Rd.,Corfu,NY,2020-10-19
137768,A-650013,3,Two lanes blocked due to accident on I-190 Southbound at Exit 5 Hamburg St.,Buffalo,NY,2020-10-20
139649,A-651894,3,Right lane blocked due to accident on I-96 Westbound at Davison.,Detroit,MI,2020-10-21
143490,A-655735,2,Lane blocked due to accident on PA-46 Kendall Ave both ways at Pratt Holw.,Bradford,PA,2020-10-22
145451,A-657696,2,Left lane closed due to accident on NY-33 Kensington Expy Westbound at NY-240 Harlem Rd.,Buffalo,NY,2020-10-23
145456,A-657701,3,Lane blocked due to accident on I-90 Eastbound at I-190 .,Buffalo,NY,2020-10-24
147496,A-659741,2,Lane blocked due to accident on Hutchinson River Pkwy Southbound at Exit 16 Webster Ave.,Bronxville,NY,2020-10-25
148115,A-660360,2,Exit ramp from I-95 Southbound at Exit 13 to I-278 Westbound lane blocked due to accident.,Elizabeth,NJ,2020-10-26
150545,A-662790,2,Accident on I-90 Westbound at Exits 51E 51W NY-33 Kensington Expy.,Buffalo,NY,2020-10-27
150598,A-662843,3,Right lane blocked and right hand shoulder blocked due to accident on I-94 Westbound near Edsel Ford Fwy.,Detroit,MI,2020-10-28
154391,A-666636,2,Restrictions due to accident on I-190 Southbound after Exit 19 CR-75 Whitehaven Rd.,Grand Island,NY,2020-10-29
158684,A-670929,3,Right lane blocked due to accident on I-190 Northbound at Ontario St.,Buffalo,NY,2020-08-31
158853,A-671098,2,Three lanes blocked due to accident on Garden State Pkwy Southbound at Exit 124 CR-670 Main St.,Sayreville,NJ,2020-09-01
159188,A-671434,2,Entry ramp closed due to incident on Port Miami Tunnel Westbound at FL-886.,Miami,FL,2020-08-30
160429,A-672675,3,Three lanes blocked due to accident on I-95 Southbound at Exit 16 Garden St.,New Rochelle,NY,2020-09-02
161913,A-674159,2,Right lane blocked and right hand shoulder blocked due to accident on US-131 Northbound at Pearl St.,Grand Rapids,MI,2020-09-03
163946,A-676192,4,Three lanes blocked due to accident on I-485 anticlockwise from Exit 3 Arrowood Rd to Exit 1 NC-49.,Charlotte,NC,2020-09-04
167419,A-679665,2,Accident on Zimmerman Rd at Perennial Way.,Erie,PA,2020-07-03
167472,A-679718,3,Left lane blocked due to accident on I-95 Southbound at Exit 13 I-278 Exits 3A 3B-C.,Elizabeth,NJ,2020-07-02
167929,A-680175,3,Left lane blocked due to accident on I-95 Northbound at Exit 87 US-17.,Richmond Hill,GA,2020-07-04
168718,A-680964,3,Accident on I-690 Westbound at Exits 1 2 I-90 Exit 39.,Syracuse,NY,2020-07-05
169475,A-681721,3,Left lane blocked due to accident on I-90 Mass Pike Westbound near Pru Tunnel.,Boston,MA,2020-07-06
170950,A-683196,2,Accident on CR-89 Nash Rd at Walck Rd.,North Tonawanda,NY,2020-07-07
171084,A-683330,3,Two lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 24 NY-27 Prospect Expy Exit 1.,Brooklyn,NY,2020-07-08
172522,A-684768,2,Left lane blocked due to accident on I-95 Northbound from Exit 19 CR-152 Playland Pkwy to Exits 20 21 I-287 Cross Westchester Expy Exits 11 12.,Rye,NY,2020-07-09
173807,A-686053,2,Accident on I-190 Southbound at Exit 19 / CR-75 Whitehaven Rd.,Grand Island,NY,2020-07-11
173845,A-686091,3,Right lane closed due to accident on I-696 Westbound at Greenfield Rd.,Oak Park,MI,2020-07-10
173957,A-686203,2,Two lanes blocked due to accident on Fdr Dr Southbound at Montgomery St.,New York,NY,2020-07-12
175702,A-687948,2,Accident on I-90 Eastbound at Exit 9 PA-18 Meadville Rd.,Girard,PA,2020-07-13
175744,A-687990,2,Right hand shoulder blocked due to accident on I-94 Westbound at Oakwood Blvd.,Allen Park,MI,2020-07-14
178287,A-690533,2,Accident on CR-57 Markham Rd at School St.,Gowanda,NY,2020-07-15
178895,A-691141,2,Accident on I-85 Northbound near SC-291 Pleasantburg Dr.,Greenville,SC,2020-07-16
179738,A-691984,2,Accident on Center Rd at Lapeer Rd.,Flint,MI,2020-07-17
182653,A-694899,2,Accident on Turtle Pond Pkwy at Dedham Pkwy.,Hyde Park,MA,2020-07-18
182732,A-694978,3,Right and center lane blocked due to accident on Heckscher Pkwy Eastbound from Exit 41A Southern Pkwy to Exits 42N 42S CR-13 5th Ave.,Bay Shore,NY,2020-07-19
183236,A-695482,2,Right and center lane blocked due to accident on Grand Central Pkwy Eastbound at Exits 13S 13W 14 15 I-678 Exits 7 8 10.,Flushing,NY,2020-07-20
184985,A-697234,2,Accident on I-190 Northbound after Exit 9 Porter Ave.,Buffalo,NY,2020-07-21
185154,A-697403,3,Left and center lane blocked due to accident on I-84 Westbound at Exit 50 CR-27 Lime Kiln Rd.,Hopewell Junction,NY,2020-07-22
186527,A-698778,3,Left lane blocked due to accident on I-94 Westbound at Exits 215A 215B M-10 John C Lodge Fwy Exits 4A 4B.,Detroit,MI,2020-07-23
189377,A-701640,3,Left lane blocked due to accident on I-190 Southbound at Exit 6 Oak St.,Buffalo,NY,2020-07-24
189427,A-701690,3,Right hand shoulder blocked and right lane blocked due to accident on I-94 Westbound at Conner St.,Detroit,MI,2020-07-25
191007,A-703276,3,Lane blocked due to accident on I-95 Cross Bronx Expy Northbound at Exit 2A Jerome Ave.,Bronx,NY,2020-07-26
191545,A-703814,2,Exit ramp from i-678 Southbound to 69th Rd Westbound lane blocked due to accident.,Forest Hills,NY,2020-07-27
193480,A-705754,3,Accident on I-190 Southbound near Exit 53 I-90.,Buffalo,NY,2020-07-28
193711,A-705986,3,Two lanes blocked due to accident on I-66 Eastbound at US-29 Lee Hwy.,Centreville,VA,2020-07-29
196465,A-708742,2,Accident on 13th St at Ontario Ave.,Niagara Falls,NY,2020-07-30
196509,A-708786,3,Right lane blocked and right hand shoulder blocked due to accident on I-94 Eastbound at Vining Rd.,Romulus,MI,2020-07-31
198105,A-710386,2,Lane blocked due to accident on Bronx River Pkwy Southbound at Cross County Pkwy.,Mount Vernon,NY,2020-08-01
199662,A-711948,2,Lane blocked due to accident on Southern Pkwy Eastbound at exit 25.,Bellmore,NY,2020-08-02
200567,A-712853,3,Left lane blocked due to accident on I-190 Northbound at CR-75 Whitehaven Rd.,Grand Island,NY,2020-08-03
202045,A-714338,3,Left lane blocked due to accident on I-90 Eastbound at Exit 58 NY-5.,Irving,NY,2020-08-04
203531,A-715824,2,Accident on I-90 Westbound at Exit 49 NY-78 Transit Rd.,Buffalo,NY,2020-08-05
203683,A-715976,3,Center lane blocked due to accident on I-95 Southbound between Exit 17 Madison Ave and Exit 16 Cedar St.,New Rochelle,NY,2020-08-06
204993,A-717286,3,Center and Right lane blocked and right hand shoulder blocked due to accident on I-275 Southbound at M-14.,Plymouth,MI,2020-08-07
207849,A-720142,3,Accident on I-95 Northbound at Exit 17 MA-135 West St.,Dedham,MA,2020-08-08
207892,A-720185,3,Two lanes blocked due to accident on I-495 Eastbound at exit 21.,Flushing,NY,2020-08-09
208870,A-721163,3,Left lane blocked due to accident on I-90 Eastbound at Exit 49 NY-78 Transit Rd.,Buffalo,NY,2020-08-10
210242,A-722535,2,Accident on I-90 Westbound at Exit 48A NY-77 Alleghany Rd.,Corfu,NY,2020-08-11
211559,A-723852,2,Accident on Expy Northbound at Southampton St. On exit ramp.,Boston,MA,2020-08-12
212281,A-724574,4,Two lanes blocked due to accident on I-26 Eastbound from Exits 111A 111B US-1 Augusta Rd to Airport Ln.,West Columbia,SC,2020-08-13
213191,A-725484,3,Right lane blocked and right hand shoulder blocked due to accident on I-94 Eastbound at Edsel Ford Fwy.,Detroit,MI,2020-08-14
216408,A-728702,3,Accident on I-190 Northbound at Exit 13 Austin St.,Buffalo,NY,2020-08-15
216473,A-728767,2,Three lanes blocked due to accident on Southern Pkwy at Exits 17N 17S Hempstead Ave.,Malverne,NY,2020-08-16
217181,A-729475,2,Right hand shoulder blocked due to accident on Sprain Brook Pkwy at Grasslands Rd.,Elmsford,NY,2020-08-17
219215,A-731509,2,Accident on I-90 Eastbound at Exit 50 I-290 Exits 1-49 7A 7B 51-61.,Buffalo,NY,2020-08-18
220717,A-733011,2,Accident on CR-20 Townline Rd at CR-60 Tonawanda Creek Rd.,North Tonawanda,NY,2020-08-19
222327,A-734621,2,Accident Dump Truck involved and fallen power cables on US-20 Southwestern Blvd near Railroad Ave.,Irving,NY,2020-08-20
223772,A-736066,3,Accident on I-90 Eastbound at Exits 51E 51W NY-33 Kensington Expy.,Buffalo,NY,2020-08-21
225365,A-737659,3,Two lane blocked due to accident on I-90 Eastbound at Exit 52A CR-207 William St.,Buffalo,NY,2020-08-22
225453,A-737747,2,Accident on Northern Pkwy Eastbound at Exits 27 27N 27S Shelter Rock Rd.,Roslyn,NY,2020-08-23
226343,A-738637,2,Accident on I-190 Southbound at Exit 7 Broadcast Plz.,Buffalo,NY,2020-08-24
227722,A-740016,2,Accident on I-190 Southbound from Exit 7 Broadcast Plz to Exit 6 Oak St.,Buffalo,NY,2020-08-25
227763,A-740057,3,HOV lane blocked and right hand shoulder blocked due to accident on I-96 Westbound after Davison.,Detroit,MI,2020-08-26
229176,A-741470,3,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound between Fisher Fwy and Schaefer Hwy.,Detroit,MI,2020-08-27
230770,A-743064,3,Right lane blocked due to accident on I-95 Cross Bronx Expy Southbound at 3rd Ave.,Bronx,NY,2020-08-28
233758,A-746052,3,Lane blocked due to accident on I-190 Southbound at Exit 11 NY-198.,Buffalo,NY,2020-08-29
234830,A-747124,2,Right lane closed due to accident on NY-5 Buffalo Skwy Eastbound at Ohio St.,Buffalo,NY,2020-07-01
235897,A-748191,3,Left and center lane blocked due to accident on I-225 Northbound from Exit 7 Mississippi Ave to Exit 8 Alameda Ave.,Aurora,CO,2020-06-30
237696,A-749990,3,Accident on I-90 Westbound at Exits 51E / NY-33 Kensington Expy.,Buffalo,NY,2020-05-24
237730,A-750024,3,Left lane blocked due to accident on I-278 Brooklyn Queens Expy Northbound at 29th Street.,Brooklyn,NY,2020-05-25
237799,A-750093,3,Entry ramp closed due to incident on Port Miami Tunnel Westbound at FL-886.,Miami,FL,2020-05-23
237998,A-750292,2,Accident on I-90 Eastbound before Exit 57 NY-75 Camp Rd.,Hamburg,NY,2020-05-26
240470,A-752764,2,Accident on I-90 Westbound at Exit 51 NY-33.,Buffalo,NY,2020-05-27
240523,A-752817,2,Accident on I-87 Southbound near New Baltimore Rd.,West Coxsackie,NY,2020-05-28
241941,A-754235,2,Accident on I-90 Eastbound at Exit 59 NY-60 Bennett Rd.,Dunkirk,NY,2020-05-29
243498,A-755792,2,Accident on I-87 Northbound at Exit 19.,Kingston,NY,2020-05-30
244813,A-757107,2,Lane blocked due to accident on Fdr Dr Southbound at Exit 9 42nd St.,New York,NY,2020-05-31
245140,A-757434,2,One lane blocked and right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at Pudding St.,Putnam Valley,NY,2020-06-01
245431,A-757725,2,Accident on I-90 Eastbound at Exit 30 NY-28 Mohawk St.,Herkimer,NY,2020-06-02
246906,A-759200,4,4 left lane blocked due to accident on I-95 Northbound from FL-808 Glades Rd to FL-794 Yamato Rd.,Boca Raton,FL,2020-06-03
249117,A-761411,3,Accident on I-90 Westbound from Exit 54 NY-400 to Exit 55 US-219.,Buffalo,NY,2020-04-30
250260,A-762554,2,Accident on 7th Ave at Dobbins Rd.,Phoenix,AZ,2020-04-29
250496,A-762790,2,Accident on I-190 Northbound at Exit 8 NY-266 Niagara St.,Buffalo,NY,2020-05-01
250909,A-763203,4,Accident on I-95 Northbound at Exit 8A 95th St. Express lanes blocked.,Miami,FL,2020-05-02
252236,A-764532,2,Accident on I-90 Westbound at Exit 49.,Akron,NY,2020-05-03
252242,A-764538,2,Accident on Pleasant St at Scotland Blvd.,Bridgewater,MA,2020-05-05
252272,A-764568,2,Accident on I-90 Westbound before Exit 46 I-390 Exits 12 12A 12B.,Henrietta,NY,2020-05-06
253234,A-765530,2,Right lane blocked due to accident on Cross Island Pkwy Northbound at I-295 Throgs Neck Brg.,Bayside,NY,2020-05-07
254999,A-767295,2,Accident on I-90 Eastbound at Exit 51 NY-33 Kensington Expy.,Buffalo,NY,2020-05-08
255030,A-767326,2,Right hand shoulder blocked and right lane blocked due to accident on M-39 Southbound at McNichols Rd.,Detroit,MI,2020-05-09
256684,A-768980,2,Left hand shoulder blocked due to accident on I-96 Eastbound at Exits 155 155A 155B Milford Rd.,Milford,MI,2020-05-10
256969,A-769265,2,Accident on I-90 Westbound at Exit 54 NY-400.,Buffalo,NY,2020-05-11
258186,A-770482,2,Accident on I-90 Westbound at Exit 61 NY-815.,Ripley,NY,2020-05-12
258216,A-770512,3,Center right lane blocked and right hand shoulder blocked due to accident on I-94 Westbound at Exit 218 Edsel Ford Fwy.,Detroit,MI,2020-05-13
259562,A-771858,2,Lane blocked due to accident on Ocean Pkwy Westbound at Robert Moses Cswy.,Babylon,NY,2020-05-14
260743,A-773039,2,Two lanes blocked due to accident on Bronx River Pkwy both ways at Exit 9 Gun Hill Rd.,Bronx,NY,2020-05-15
261868,A-774164,3,Left lane blocked and left hand shoulder blocked due to accident on I-696 Eastbound at Couzens Ave.,Madison Heights,MI,2020-05-16
263259,A-775555,3,Lane blocked due to accident on I-88 Westbound at Exit 24.,Duanesburg,NY,2020-05-17
263630,A-775926,3,2 right lane blocked due to accident on I-95 Bruckner Expy Northbound at I-695.,Bronx,NY,2020-05-18
265476,A-777772,3,Left and center lane blocked due to accident on I-90 Eastbound at Exits 51E 51W NY-33 Kensington Expy.,Buffalo,NY,2020-05-19
265509,A-777805,3,Center right lane blocked right hand shoulder blocked and left hand shoulder blocked due to accident on I-96 Westbound at I-96 Local.,Detroit,MI,2020-05-20
268285,A-780581,2,Accident on CR-317 Dick Rd at NY-33 Kensington Expy.,Buffalo,NY,2020-05-21
269706,A-782002,2,Accident and fallen power cables on Court St at State St.,Boston,MA,2020-05-22
